No.,Kabupaten/Kota,Province,Institution,item_title, quantity ,unit,Realisasi Program,Year,Valid,Tautan,item_title,item_title_english
1,Aceh Besar,Aceh,PT Capella Dinamik Nusantara,Aksi Tangguh Capella Honda dan Dirlantas Polda Aceh Tanam Mangrove di Jumat Berkah ,2000,seedlings,2000 bibit mangrove ditanam,2024,√,https://harianrakyataceh.com/news/aksi-tangguh-capella-honda-dan-dirlantas-polda-aceh-tanam-mangrove-di-jumat-berkah/index.html,Aksi Tangguh Capella Honda dan Dirlantas Polda Aceh Tanam Mangrove di Jumat Berkah ,Resilient Action by Capella Honda and Aceh Police Traffic Directorate: Planting Mangroves on a Blessed Friday
2,Aceh Besar,Aceh,PT PLN (Persero) UIP3B Sumatera UPTD Banda Aceh,"Dikenal sebagai Kawasan Perumahan, PLN Hijaukan Baet Lewat Aksi Tanam 10 Ribu Mangrove",9500,seedlings,9500 bibit mangrove ditanam di lahan 2 hektare,2025,√,https://rri.co.id/daerah/806012/pt-tpp3-tanam-200-mangrove-di-aceh-jaya,"Dikenal sebagai Kawasan Perumahan, PLN Hijaukan Baet Lewat Aksi Tanam 10 Ribu Mangrove","Known as a Residential Area, PLN Greens Baet Through the Planting of 10,000 Mangroves"
3,Aceh Jaya,Aceh,PT Tunggal Perkasa Plantation 3 (TPP3) ,PT TPP3 Tanam 200 Mangrove di Aceh Jaya ,200,seedlings,200 bibit mangrove ditanam,2024,√,https://topmetro.news/126511/pln-up3-subulussalam-tanam-pohon-mangrove-di-aceh-singkil/,PT TPP3 Tanam 200 Mangrove di Aceh Jaya ,PT TPP3 Plants 200 Mangroves in Aceh Jaya
4,Aceh Singkil,Aceh,PLN UP3 Subulussalam,PLN UP3 Subulussalam tanam Pohon Mangrove di Aceh Singkil,1000,seedlings,1000 bibit mangrove ditanam,2021,√,https://aceh.tribunnews.com/2025/06/27/dikenal-sebagai-kawasan-perumahan-pln-hijaukan-baet-lewat-aksi-tanam-10-ribu-mangrove,PLN UP3 Subulussalam tanam Pohon Mangrove di Aceh Singkil,PLN UP3 Subulussalam Plants Mangrove Trees in Aceh Singkil
5,Aceh Tamiang,Aceh,"Yayasan Satucita Lestari Indonesia (YSLI), 
Kelompok Perhutanan Sosial Hutan Kemasyarakatan (PS-HKm), 
TNI AL Pos Seruway, 
PT Pertamina EP Rantau, RPH Seruway","Jaga Ekosistem, YSLI Tanam 1.500 Mangrove di Pantai Aceh Tamiang",1500,seedlings,1500 bibit mangrove ditanam ,2024,√,https://acehprov.go.id/berita/kategori/wisata-lingkungan/jaga-ekosistem-ysli-tanam-1500-mangrove-di-pantai-aceh-tamiang,"Jaga Ekosistem, YSLI Tanam 1.500 Mangrove di Pantai Aceh Tamiang","Protecting the Ecosystem, YSLI Plants 1,500 Mangroves on Aceh Tamiang Beach"
6,Banda Aceh,Aceh,PT Pertamina Patra Niaga Regional Sumbagut melalui Fuel Terminal Krueng Raya,Pertamina Krueng Raya Gelar Program Peningkatan Kesehatan dan Tanam 1.000 Mangrove,1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.sekilasaceh.co/news/pertamina-krueng-raya-gelar-program-peningkatan-kesehatan-dan-tanam-1-000-mangrove/index.html,Pertamina Krueng Raya Gelar Program Peningkatan Kesehatan dan Tanam 1.000 Mangrove,"Pertamina Krueng Raya Holds Health Improvement Program and Plants 1,000 Mangroves"
7,Kota Banda Aceh,Aceh,Badan Nasional Penanggulangan Bencana (BNPB),BNPB tanam 6.000 batang mangrove di Aceh upaya jaga ekosistem pesisir,6000,seedlings,6000 bibit mangrove ditanam,2024,√,https://aceh.antaranews.com/berita/369570/bnpb-tanam-6000-batang-mangrove-di-aceh-upaya-jaga-ekosistem-pesisir,BNPB tanam 6.000 batang mangrove di Aceh upaya jaga ekosistem pesisir,"BNPB Plants 6,000 Mangroves in Aceh to Protect Coastal Ecosystems"
8,Kota Banda Aceh,Aceh,Dompet Dhuafa Aceh dan Disaster Management Center (DMC),Dari Aceh untuk Aceh: Dompet Dhuafa Tanam 220 Mangrove ,220,seedlings,220 bibit mangrove ditanam,2024,√,https://dmc.dompetdhuafa.org/dari-aceh-untuk-aceh-dompet-dhuafa-tanam-220-mangrove/,Dari Aceh untuk Aceh: Dompet Dhuafa Tanam 220 Mangrove ,From Aceh for Aceh: Dompet Dhuafa Plants 220 Mangroves
9,Kota Banda Aceh,Aceh,TNI Angkatan Darat (TNI AD),"Tanam 64 Ribu Mangrove di Aceh, KSAD: Titik Awal Penghijauan Pesisir Indonesia",8500,seedlings,8500 bibit mangrove ditanam,2024,√,https://www.ajnn.net/news/tanam-64-ribu-mangrove-di-aceh-ksad-titik-awal-penghijauan-pesisir-indonesia/index.html,"Tanam 64 Ribu Mangrove di Aceh, KSAD: Titik Awal Penghijauan Pesisir Indonesia","Planting 64,000 Mangroves in Aceh, Indonesian Army Chief of Staff: Starting Point for Coastal Greening of Indonesia"
10,Badung,Bali,PT BNI,2.000 Mangrove Plant Seedlings for Bali ,2000,seedlings,2000 bibit mangrove ditanam,2023,√,https://www.bni.co.id/en-us/home/bni-news/news/articleid/22354,2.000 Mangrove Plant Seedlings for Bali ,"2,000 Mangrove Seedlings for Bali"
