wil_kerja,Hectare,Tahun
BPDAS AGAM KUANTAN,25,2023
BPDAS AKE MALAMO,0,2023
BPDAS ASAHAN BARUMUN,0,2023
BPDAS BARITO,73,2023
BPDAS BATANGHARI,25,2023
BPDAS BATURUSA CERUCUK,0,2023
BPDAS BENAIN NOELMINA,25,2023
BPDAS BONE BOLANGO,25,2023
BPDAS SADDANG,0,2023
BPDAS LARIANG MAMASA,0,2023
BPDAS BRANTAS,80,2023
BPDAS CIMANUK - CITANDUY,50,2023
BPDAS CITARUM - CILIWUNG,50,2023
BPDAS DODOKAN MOYOSARI,20,2023
BPDAS INDRAGIRI ROKAN,0,2023
BPDAS JENEBERANG WALANAE,30,2023
BPDAS KAHAYAN,35,2023
BPDAS KAPUAS,0,2023
BPDAS KEPRI,25,2023
BPDAS KETAHUN,25,2023
BPDAS KRUENG ACEH,44,2023
BPDAS MAHAKAM BERAU,0,2023
BPDAS MEMBERAMO,0,2023
BPDAS MUSI,25,2023
BPDAS PALU POSO,0,2023
BPDAS PEMALI JRATUN,25,2023
BPDAS REMU RANSIKI,0,2023
BPDAS SAMPARA,50,2023
BPDAS SAMPEAN,0,2023
BPDAS SERAYU OPAK PROGO,0,2023
BPDAS SOLO,0,2023
BPDAS TONDANO,0,2023
BPDAS UNDA ANYAR,10,2023
BPDAS WAEHAPU BATU MERAH,25,2023
BPDAS WAMPU SEI ULAR,0,2023
BPDAS WAY SEPUTIH SEKAMPUNG,0,2023
BPDAS AGAM KUANTAN,25,2022
BPDAS AKE MALAMO,0,2022
BPDAS ASAHAN BARUMUN,0,2022
BPDAS BARITO,0,2022
BPDAS BATANGHARI,50,2022
BPDAS BATURUSA CERUCUK,0,2022
BPDAS BENAIN NOELMINA,25,2022
BPDAS BONE BOLANGO,75,2022
BPDAS SADDANG,0,2022
BPDAS LARIANG MAMASA,0,2022
BPDAS BRANTAS,76,2022
BPDAS CIMANUK - CITANDUY,50,2022
BPDAS CITARUM - CILIWUNG,25,2022
BPDAS DODOKAN MOYOSARI,100,2022
BPDAS INDRAGIRI ROKAN,0,2022
BPDAS JENEBERANG WALANAE,75,2022
BPDAS KAHAYAN,100,2022
BPDAS KAPUAS,0,2022
BPDAS KEPRI,25,2022
BPDAS KETAHUN,0,2022
BPDAS KRUENG ACEH,75,2022
BPDAS MAHAKAM BERAU,0,2022
BPDAS MEMBERAMO,0,2022
BPDAS MUSI,50,2022
BPDAS PALU POSO,50,2022
BPDAS PEMALI JRATUN,50,2022
BPDAS REMU RANSIKI,0,2022
BPDAS SAMPARA,165,2022
BPDAS SAMPEAN,0,2022
BPDAS SERAYU OPAK PROGO,0,2022
BPDAS SOLO,0,2022
BPDAS TONDANO,50,2022
BPDAS UNDA ANYAR,45,2022
BPDAS WAEHAPU BATU MERAH,75,2022
BPDAS WAMPU SEI ULAR,0,2022
BPDAS WAY SEPUTIH SEKAMPUNG,25,2022
